trygga	tryggade	V;IMP	ADJ;DEF;PL	C
krossades	krossade	V;PASS;IND;PST	ADJ;DEF;PL	C
hörsammades	hörsammade	V;PASS;IND;PST	ADJ;DEF;PL	C
stadier	stadiers	N;INDF;NOM;SG	N;INDF;GEN;PL	C
betrycktes	betrycktas	V;PASS;IND;PRS	ADJ;INDF;GEN;PL	C
korsfästes	korsfästa	V;PASS;IND;PRS	V;ACT;NFIN	C
släkterna	släkt	N;DEF;PL	N;INDF;NOM;SG	C
sticka	stickas	V;IMP	V;PASS;NFIN	C
skäres	skäras	V;PASS;IND;PRS	ADJ;INDF;GEN;PL	C
upptecknades	upptecknade	V;PASS;IND;PST	ADJ;DEF;PL	C
miste	mista	V.PTCP;PST	V;ACT;NFIN	C
avsöndrades	avsöndrade	V;PASS;IND;PST	ADJ;DEF;PL	C
skäres	skära	V;PASS;IND;PRS	V;ACT;NFIN	C
träffades	träffas	V;PASS;IND;PST	V;PASS;NFIN	C
plågades	plåga	V;PASS;IND;PST	V;IMP	C
uttåg	uttåget	N;INDF;NOM;SG	N;DEF;NOM;SG	C
skuggade	skugga	ADJ;DEF;PL	V;IMP	C
krossade	krossades	ADJ;DEF;PL	V;PASS;IND;PST	C
beten	betar	N;DEF;SG	V;ACT;IND;PRS	C
blåste	blåst	V;ACT;IND;PST	ADJ;INDF;NEUT;SG	C
år	året	N;INDF;NOM;SG	N;DEF;NOM;SG	C
förskräckt	förskräckte	ADJ;INDF;NEUT;SG	V;ACT;IND;PST	C
släkt	släktens	N;INDF;NOM;SG	N;DEF;GEN;SG	C
dyrkade	dyrkades	ADJ;DEF;PL	V;PASS;IND;PST	C
vände	vända	V;ACT;IND;PST	V;ACT;NFIN	C
förordnades	förordnade	V;PASS;IND;PST	ADJ;DEF;PL	C
glada	gladas	V;ACT;NFIN	ADJ;INDF;GEN;PL	C
dödas	dödades	V;PASS;NFIN	V;PASS;IND;PST	C
finne	finnes	V.PTCP;PST	V;PASS;IND;PRS	C
lamm	lamms	N;INDF;NOM;SG	N;INDF;GEN;PL	C
räknades	räknade	V;PASS;IND;PST	ADJ;DEF;PL	C
lovade	lovar	ADJ;DEF;PL	V;ACT;IND;PRS	C
talade	talades	ADJ;DEF;PL	V;PASS;IND;PST	C
ax	axet	N;INDF;NOM;SG	N;DEF;NOM;SG	C
fästas	fästes	ADJ;INDF;GEN;PL	V;PASS;IND;PRS	C
rov	rovet	N;INDF;NOM;SG	N;DEF;NOM;SG	C
palatset	palats	N;DEF;NOM;SG	N;INDF;NOM;SG	C
blodbadet	blodbad	N;DEF;NOM;SG	N;INDF;NOM;SG	C
hornet	horn	N;DEF;NOM;SG	N;INDF;NOM;SG	C
avskäres	avskära	V;PASS;IND;PRS	V;ACT;NFIN	C
Gudarna	Gud	N;DEF;NOM;PL	N;INDF;NOM;SG	C
stött	stötes	ADJ;INDF;NEUT;SG	V;PASS;IND;PRS	C
tårarna	tår	N;DEF;NOM;PL	N;INDF;NOM;SG	C
falle	falla	V.PTCP;PST	V;ACT;NFIN	C
uppgiva	uppgives	V;ACT;NFIN	V;PASS;IND;PRS	C
bäckarna	bäckens	N;DEF;NOM;PL	N;DEF;GEN;SG	C
vikt	vika	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
sätet	säte	N;DEF;NOM;SG	N;INDF;NOM;SG	C
uttåget	uttåg	N;DEF;NOM;SG	N;INDF;NOM;SG	C
kläder	klädde	V.CVB	V;ACT;IND;PST	C
förbud	förbudet	N;INDF;NOM;SG	N;DEF;NOM;SG	C
blotta	blottade	V;IMP	ADJ;DEF;PL	C
fadern	faders	ADJ;INDF;MASC+FEM;SG	N;INDF;GEN;SG	C
ingångarna	ingångens	N;DEF;NOM;PL	N;DEF;GEN;SG	C
anskaffade	anskaffades	ADJ;DEF;PL	V;PASS;IND;PST	C
upphöja	upphöjde	V;ACT;NFIN	V;ACT;IND;PST	C
gripa	gripes	V;ACT;NFIN	V;PASS;IND;PRS	C
betänkte	betänka	V;ACT;IND;PST	V;ACT;NFIN	C
smida	smides	V;ACT;NFIN	V;PASS;IND;PRS	C
ålägges	ålägga	V;PASS;IND;PRS	V;ACT;NFIN	C
löst	lösa	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
modet	mods	N;DEF;NOM;SG	N;INDF;GEN;PL	C
lamms	lammet	N;INDF;GEN;PL	N;DEF;NOM;SG	C
överdragna	överdragen	V;ACT;NFIN	ADJ;INDF;MASC+FEM;SG	C
avsatt	avsatte	ADJ;INDF;NEUT;SG	V;ACT;IND;PST	C
rört	röres	ADJ;INDF;NEUT;SG	V;PASS;IND;PRS	C
tillreds	tillredes	N;INDF;GEN;SG	V;PASS;IND;PRS	C
användas	användes	ADJ;INDF;GEN;PL	V;PASS;IND;PRS	C
förlåte	förlåta	V.PTCP;PST	V;ACT;NFIN	C
vetekornet	vetekorn	N;DEF;NOM;SG	N;INDF;NOM;SG	C
täckte	täckt	V;ACT;IND;PST	ADJ;INDF;NEUT;SG	C
minska	minskade	V;IMP	ADJ;DEF;PL	C
hemsökes	hemsöka	V;PASS;IND;PRS	V;ACT;NFIN	C
byggnadsverket	byggnadsverk	N;DEF;NOM;SG	N;INDF;NOM;SG	C
Vårt	Våra	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
förtryckt	förtrycka	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
stänkt	stänkes	ADJ;INDF;NEUT;SG	V;PASS;IND;PRS	C
följd	följande	V.PTCP;PST	V.PTCP;PRS	C
altaret	altare	N;DEF;NOM;SG	N;INDF;NOM;SG	C
kallas	kallades	V;PASS;NFIN	V;PASS;IND;PST	C
Israels	Israel	N;INDF;GEN;PL	N;INDF;NOM;SG	C
läras	lärt	ADJ;INDF;GEN;PL	ADJ;INDF;NEUT;SG	C
upplopp	upploppet	N;INDF;NOM;SG	N;DEF;NOM;SG	C
armen	arms	ADJ;INDF;MASC+FEM;SG	N;INDF;GEN;SG	C
uppbådades	uppbådade	V;PASS;IND;PST	ADJ;DEF;PL	C
spjutet	spjut	N;DEF;NOM;SG	N;INDF;NOM;SG	C
böjde	böja	V;ACT;IND;PST	V;ACT;NFIN	C
beskärt	beskäres	ADJ;INDF;NEUT;SG	V;PASS;IND;PRS	C
samlades	samlas	V;PASS;IND;PST	V;PASS;NFIN	C
Anas	Ana	ADJ;INDF;GEN;PL	V;ACT;NFIN	C
upprört	uppröres	ADJ;INDF;NEUT;SG	V;PASS;IND;PRS	C
säte	sätet	N;INDF;NOM;SG	N;DEF;NOM;SG	C
budet	buds	N;DEF;NOM;SG	N;INDF;GEN;PL	C
bedrage	bedraga	V.PTCP;PST	V;ACT;NFIN	C
dragna	dragen	V;ACT;NFIN	ADJ;INDF;MASC+FEM;SG	C
döva	dövas	V;IMP	V;PASS;NFIN	C
förströdda	förströdde	V;ACT;NFIN	V.PTCP;PST	C
strålande	strålade	ADJ;PRS	ADJ;DEF;PL	C
utfärdade	utfärdades	ADJ;DEF;PL	V;PASS;IND;PST	C
låret	lår	N;DEF;NOM;SG	N;INDF;NOM;SG	C
vrides	vrida	V;PASS;IND;PRS	V;ACT;NFIN	C
föreläses	föreläsa	V;PASS;IND;PRS	V;ACT;NFIN	C
mätt	mätte	ADJ;INDF;NEUT;SG	V;ACT;IND;PST	C
bälte	bältet	N;INDF;NOM;SG	N;DEF;NOM;SG	C
upplyste	upplysa	V;ACT;IND;PST	V;ACT;NFIN	C
röras	rört	ADJ;INDF;GEN;PL	ADJ;INDF;NEUT;SG	C
blygs	blygas	N;INDF;GEN;SG	ADJ;INDF;GEN;PL	C
upplysa	upplyste	V;ACT;NFIN	V;ACT;IND;PST	C
förlöst	förlösa	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
viskas	viska	V;PASS;NFIN	V;IMP	C
stilla	stillades	V;IMP	V;PASS;IND;PST	C
skurna	skuren	V;ACT;NFIN	ADJ;INDF;MASC+FEM;SG	C
bortförde	bortfört	V;ACT;IND;PST	ADJ;INDF;NEUT;SG	C
bjude	bjudes	V.PTCP;PST	V;PASS;IND;PRS	C
väcka	väckes	V;ACT;NFIN	V;PASS;IND;PRS	C
give	gives	V.PTCP;PST	V;PASS;IND;PRS	C
berömde	berömt	V;ACT;IND;PST	ADJ;INDF;NEUT;SG	C
modersskötet	moderssköte	N;DEF;NOM;SG	N;INDF;NOM;SG	C
vindarna	vind	N;DEF;NOM;PL	N;INDF;NOM;SG	C
dövas	döva	V;PASS;NFIN	V;IMP	C
ändamålet	ändamål	N;DEF;NOM;SG	N;INDF;NOM;SG	C
utsläckt	utsläcka	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
frätas	fräta	ADJ;INDF;GEN;PL	V;ACT;NFIN	C
vända	vände	V;ACT;NFIN	V;ACT;IND;PST	C
röres	röra	V;PASS;IND;PRS	V;ACT;NFIN	C
fylla	fyllde	V;ACT;NFIN	V;ACT;IND;PST	C
nederlaget	nederlag	N;DEF;NOM;SG	N;INDF;NOM;SG	C
kalla	kallades	V;IMP	V;PASS;IND;PST	C
tycka	tyckes	V;ACT;NFIN	V;PASS;IND;PRS	C
mördande	mördade	ADJ;PRS	ADJ;DEF;PL	C
hus	huset	N;INDF;NOM;SG	N;DEF;NOM;SG	C
våldföres	våldföra	V;PASS;IND;PRS	V;ACT;NFIN	C
utsprida	utspridde	V;ACT;NFIN	V;ACT;IND;PST	C
fört	föra	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
upplåtna	upplåten	V;ACT;NFIN	ADJ;INDF;MASC+FEM;SG	C
föres	föra	V;PASS;IND;PRS	V;ACT;NFIN	C
vakade	vaka	ADJ;DEF;PL	V;IMP	C
lutade	luta	ADJ;DEF;PL	V;IMP	C
agat	agas	V.CVB;ACT	V;PASS;NFIN	C
säkras	säkra	ADJ;INDF;GEN;PL	V;ACT;NFIN	C
hyllade	hylla	ADJ;DEF;PL	V;IMP	C
ringar	ringare	V;ACT;IND;PRS	N;INDF;NOM;PL	C
användes	användas	V;PASS;IND;PRS	ADJ;INDF;GEN;PL	C
skyddade	skydda	ADJ;DEF;PL	V;IMP	C
firades	firade	V;PASS;IND;PST	ADJ;DEF;PL	C
vingar	vingarna	N;INDF;PL	N;DEF;NOM;PL	C
kastades	kastade	V;PASS;IND;PST	ADJ;DEF;PL	C
aktade	aktades	ADJ;DEF;PL	V;PASS;IND;PST	C
invånare	invånares	N;INDF;NOM;SG	N;INDF;GEN;PL	C
omvände	omvända	V.PTCP;PST	V;ACT;NFIN	C
